RTTFC,4740984,51.73654,-1.38918,36000,-64,0,276.02,381.10,KLM1089,E75L,PH-EXR,AMS,ORK,1648671967.0,X2,KL1089,adsb_icao,34850,249,428,0.752,0.0,-0.2,279.67,279.67,-32,none,A3,1013.6,36000,36000,-1.00,autopilot|vnav|tcas,0.1,-9.6,308,52,-60,-36,1,82905
RTTFC,4221493,51.47133,-0.48358,0,0,1,0.00,0.00,BAW61,B77W,G-STBJ,LHR,MLE,1648671967.4,X2,BA61,adsb_icao,-1,-1,-1,-1.000,-1.0,-1.0,-1.00,177.19,-1,none,A5,-1.0,-1,-1,-1.00,,0.1,-7.8,-1,-1,-1,-1,1,145099
RTTFC,262514,51.46322,-0.47078,0,0,1,0.00,21.50,ET701,A359,ET-AWO,LHR,ADD,1648671967.2,X2,ET701,adsb_icao,-1,-1,-1,-1.000,-1.0,-1.0,-1.00,270.00,-1,none,A5,-1.0,-1,-1,-1.00,,0.3,-4.1,-1,-1,-1,-1,1,262535
RTTFC,4222352,52.20223,-0.23956,8000,64,0,204.12,252.00,EZY87YH,A320,G-EZOK,AGP,LTN,1648671967.5,X2,U22404,adsb_icao,7725,222,244,0.388,-2.1,-25.0,226.58,226.96,0,none,A3,1013.6,8000,-1,194.77,,0.0,-8.0,3,7,-1,-1,1,146414
RTTFC,3433813,51.46743,-0.48076,0,0,1,0.00,0.00,IBE31SP,A359,EC-NLP,LHR,MAD,1648671943.4,X2,IB3179,adsb_icao,-1,-1,-1,-1.000,-1.0,-1.0,-1.00,270.00,-1,none,A5,-1.0,-1,-1,-1.00,,4.1,-14.6,-1,-1,-1,-1,1,230932
RTTFC,4224716,51.46481,-0.46803,275,320,0,90.00,140.00,BAW312,A20N,G-TTNI,LHR,AMM,1648671967.0,X2,BA312,adsb_icao,275,-1,-1,-1.000,-1.0,-1.0,-1.00,87.19,-1,none,A3,1006.4,6016,-1,-1.00,,0.0,-3.8,-1,-1,-1,-1,1,148552
RTTFC,4220228,52.88246,-3.01613,37350,1536,0,12.50,415.90,EZY172F,A320,G-EZUK,BRS,EDI,1648671967.2,X2,U2431,adsb_icao,36200,246,440,0.768,0.5,11.8,9.49,8.78,1504,none,A0,1013.6,38016,-1,0.00,,0.0,-10.5,326,34,-57,-31,1,144261
RTTFC,4215893,51.46683,-0.48767,0,0,1,18.46,2.80,BAW602,A320,G-EUUU,LHR,MXP,1648671948.4,X2,BA602,adsb_icao,-1,-1,442,-1.000,0.0,0.2,-1.00,180.00,-1,none,A3,-1.0,-1,-1,-1.00,,19.1,-13.4,-1,-1,-1,-1,1,139519
RTTFC,4441275,50.68097,-2.31926,1100,-253,0,222.00,145.00,SHF427,H47,ZA681,QLA,,1648671967.3,X2,SHF 427,mlat,-1,-1,-1,-1.000,-1.0,-1.0,-1.00,-1.00,-1,,A7,-1.0,-1,-1,-1.00,,0.2,-6.7,-1,-1,-1,-1,1,74077
RTTFC,4490339,51.34163,1.39281,27075,-1056,0,99.33,437.80,OOACC,C25A,OO-ACC,EMA,,1648671967.5,X2,OOACC,adsb_icao,26250,275,398,0.692,0.0,0.0,100.02,101.00,-1024,none,A1,1012.8,24000,-1,99.84,,0.0,-12.3,263,42,-55,-34,1,123310
RTTFC,4768035,52.02753,1.61656,39000,0,0,80.40,473.60,RYR6KG,B738,SP-RKD,SNN,WMI,1648671967.3,X2,FR8878,adsb_icao,37725,233,432,0.756,0.0,-0.2,78.05,79.04,32,none,A3,1013.6,39008,39008,75.94,,0.0,-7.9,274,43,-58,-34,1,109852
RTTFC,4738789,53.42051,0.65062,40000,0,0,285.79,411.50,KLM49J,B738,PH-HSE,AMS,GLA,1648671967.4,X2,KL1481,adsb_icao,38425,242,460,0.800,-0.0,-0.4,287.58,288.13,0,,A0,1013.2,40000,-1,-1.00,,0.0,-10.5,307,52,-55,-28,1,80749
RTTFC,4220778,51.50503,0.06163,0,0,1,93.73,28.50,CFE18M,E190,G-LCYR,EDI,LCY,1648671964.9,X2,BA8719,adsb_icao,200,135,-1,0.208,-0.0,0.9,87.01,92.81,-1152,none,A3,1006.4,2016,-1,-1.00,approach,2.6,-19.8,-1,-1,-1,-1,1,144505
